Reference Image,Compared Image,Similarity,Folder
iphone xs max 47_processed.JPG,huawei cn 16_processed.jpg,0.6531689,current_folder
iphone xs max 47_processed.JPG,huawei p30 301_processed.jpg,0.8266351,current_folder
iphone xs max 47_processed.JPG,huawei p30 302_processed.jpg,0.7932446,current_folder
iphone xs max 47_processed.JPG,huawei p30 303_processed.jpg,0.7652288,current_folder
iphone xs max 47_processed.JPG,huawei p30 304_processed.jpg,0.7744445,current_folder
iphone xs max 47_processed.JPG,huawei p30 305_processed.jpg,0.6956886,current_folder
iphone xs max 47_processed.JPG,huawei p30 306_processed.jpg,0.7831999,current_folder
iphone xs max 47_processed.JPG,iphone 11 pro 124_processed.JPG,0.7090575,current_folder
iphone xs max 47_processed.JPG,iphone xs max 45_processed.JPG,0.7930106,current_folder
iphone xs max 47_processed.JPG,iphone xs max 46_processed.JPG,0.817225,current_folder
iphone xs max 47_processed.JPG,iphone xs max 48_processed.JPG,0.8301884,current_folder
iphone xs max 47_processed.JPG,iphone xs max 49_processed.JPG,0.8506156,current_folder
iphone xs max 47_processed.JPG,iphone xs max 50_processed.JPG,0.79017484,current_folder
iphone xs max 47_processed.JPG,samsung a30 820_processed.jpg,0.6884104,current_folder
iphone xs max 47_processed.JPG,samsung a30 821_processed.jpg,0.6773279,current_folder
iphone xs max 47_processed.JPG,samsung a30 822_processed.jpg,0.6788425,current_folder
iphone xs max 47_processed.JPG,samsung a30 823_processed.jpg,0.68811095,current_folder
iphone xs max 47_processed.JPG,samsung a30 824_processed.jpg,0.680166,current_folder
iphone xs max 47_processed.JPG,samsung a30 825_processed.jpg,0.6801569,current_folder
iphone xs max 47_processed.JPG,samsung a50 295_processed.jpg,0.7577269,current_folder
iphone xs max 47_processed.JPG,samsung a50 296_processed.jpg,0.73112047,current_folder
iphone xs max 47_processed.JPG,samsung a50 297_processed.jpg,0.79996264,current_folder
iphone xs max 47_processed.JPG,samsung a50 66_processed.jpg,0.79135036,current_folder
iphone xs max 47_processed.JPG,samsung a50 67_processed.jpg,0.79175645,current_folder
iphone xs max 47_processed.JPG,samsung a50 68_processed.jpg,0.77653885,current_folder
iphone xs max 47_processed.JPG,huawei cn 104_processed.jpg,0.55206335,opposite_folder
iphone xs max 47_processed.JPG,huawei p30 833_processed.jpg,0.5504708,opposite_folder
iphone xs max 47_processed.JPG,huawei p30 834_processed.jpg,0.57187366,opposite_folder
iphone xs max 47_processed.JPG,huawei p30 835_processed.jpg,0.56645244,opposite_folder
iphone xs max 47_processed.JPG,huawei p30 836_processed.jpg,0.570433,opposite_folder
iphone xs max 47_processed.JPG,huawei p30 837_processed.jpg,0.53803986,opposite_folder
iphone xs max 47_processed.JPG,huawei p30 838_processed.jpg,0.5417138,opposite_folder
iphone xs max 47_processed.JPG,iphone 11 pro 19_processed.JPG,0.50391597,opposite_folder
iphone xs max 47_processed.JPG,iphone xs max 357_processed.JPG,0.5770169,opposite_folder
iphone xs max 47_processed.JPG,iphone xs max 358_processed.JPG,0.5677401,opposite_folder
iphone xs max 47_processed.JPG,iphone xs max 359_processed.JPG,0.5943769,opposite_folder
iphone xs max 47_processed.JPG,iphone xs max 360_processed.JPG,0.592342,opposite_folder
iphone xs max 47_processed.JPG,iphone xs max 361_processed.JPG,0.5934309,opposite_folder
iphone xs max 47_processed.JPG,iphone xs max 362_processed.JPG,0.56598556,opposite_folder
iphone xs max 47_processed.JPG,samsung a30 538_processed.jpg,0.5453314,opposite_folder
iphone xs max 47_processed.JPG,samsung a30 539_processed.jpg,0.55080396,opposite_folder
iphone xs max 47_processed.JPG,samsung a30 540_processed.jpg,0.5596248,opposite_folder
iphone xs max 47_processed.JPG,samsung a30 541_processed.jpg,0.54794216,opposite_folder
iphone xs max 47_processed.JPG,samsung a30 542_processed.jpg,0.57646084,opposite_folder
iphone xs max 47_processed.JPG,samsung a30 543_processed.jpg,0.57418257,opposite_folder
iphone xs max 47_processed.JPG,samsung a50 542_processed.jpg,0.5831144,opposite_folder
iphone xs max 47_processed.JPG,samsung a50 543_processed.jpg,0.5815928,opposite_folder
iphone xs max 47_processed.JPG,samsung a50 544_processed.jpg,0.55478203,opposite_folder
iphone xs max 47_processed.JPG,samsung a50 545_processed.jpg,0.54814476,opposite_folder
iphone xs max 47_processed.JPG,samsung a50 546_processed.jpg,0.5619539,opposite_folder
iphone xs max 47_processed.JPG,samsung a50 547_processed.jpg,0.5687453,opposite_folder
